Date,market_ret,breadth,market_anomaly_flag
2018-12-11,-0.004811242964037371,0.5,0
2018-12-12,0.006111128771673802,1.0,0
2018-12-13,0.0027907211429608614,0.5,0
2018-12-14,-0.029928480841425187,0.0,1
2018-12-17,-0.02577951103216619,0.0,1
2018-12-18,0.016747665440128012,1.0,0
2018-12-19,-0.03190186238154197,0.0,1
2018-12-20,-0.02344664725231127,0.0,1
2018-12-21,-0.04230434187588475,0.0,1
2018-12-24,-0.027785834884825528,0.0,1
2018-12-26,0.0701388577540017,1.0,1
2018-12-27,-0.0052800283232762035,0.25,1
2018-12-28,0.005704436598911372,0.75,0
2018-12-31,0.009125268256678726,0.75,0
2019-01-02,0.01045651756855659,0.75,0
2019-01-03,-0.05551349273867512,0.0,1
2019-01-04,0.05083251942642858,1.0,0
2019-01-07,0.021585950637818346,0.75,0
2019-01-08,0.0045076718689276984,0.75,0
2019-01-09,0.0131655870467417,1.0,0
2019-01-10,0.003357127317785036,0.5,0
2019-01-11,-0.0005518307438469872,0.25,1
2019-01-14,-0.006436983679159958,0.25,1
2019-01-15,0.020286396274103807,0.75,0
2019-01-16,0.0035933739443307633,0.75,0
2019-01-17,0.009479011435942208,1.0,0
2019-01-18,0.014310435716756054,1.0,0
2019-01-22,-0.0327599197231474,0.0,1
2019-01-23,0.00552384347356033,1.0,0
2019-01-24,0.013414208692582724,0.5,0
2019-01-25,0.016589085042703122,1.0,0
2019-01-28,-0.046640935651973414,0.0,1
2019-01-29,-0.026011500628197626,0.0,1
2019-01-30,0.04844416063228546,1.0,0
2019-01-31,0.016019196027233534,0.75,0
2019-02-01,-0.015580159110158837,0.5,0
2019-02-04,0.023076184577565217,1.0,0
2019-02-05,0.012970073189350007,1.0,0
2019-02-06,-0.0003992024776260372,0.5,0
2019-02-07,-0.019590497142980223,0.0,1
2019-02-08,-0.0015339702590897453,0.75,0
2019-02-11,-0.004895903440255089,0.25,1
2019-02-12,0.021494042248992484,1.0,0
2019-02-13,0.0019058683970981094,0.5,0
2019-02-14,0.0011748407908208358,0.75,0
2019-02-15,0.0048120357430889715,0.5,0
2019-02-19,0.002572389155672261,0.5,0
2019-02-20,0.002515722056083025,0.5,0
2019-02-21,-0.0009300660726581644,0.25,1
